siren,year,company,totalassets,marketable_sec,cash,totaldebt,inventory,creditors,tradedebts,taxes,otherdebts,netincome,netsales
524296266,2018,TOVA,122.0,0.0,5.0,109.0,34.0,11.0,3.0,0.0,0.0,-3.0,108.0
524306800,2014,LOJUSI,361.0,0.0,0.0,300.0,113.0,184.0,183.0,13.0,8.0,6.0,1167.0
524343753,2014,DEFIDERGY SARL,800.0,0.0,54.0,725.0,0.0,35.0,25.0,4.0,0.0,-14.0,66.0
524343753,2015,DEFIDERGY SARL,704.0,0.0,2.0,633.0,0.0,29.0,25.0,3.0,0.0,1.0,67.0
524343753,2016,DEFIDERGY SARL,634.0,0.0,0.0,559.0,0.0,5.0,25.0,5.0,0.0,13.0,68.0
524343753,2017,DEFIDERGY SARL,589.0,0.0,11.0,528.0,0.0,1.0,19.0,0.0,0.0,-22.0,65.0
524343753,2018,DEFIDERGY SARL,647.0,0.0,21.0,602.0,0.0,4.0,25.0,0.0,1.0,-5.0,64.0
524372828,2014,HB DEVELOPPEMENT,1782.0,140.0,16.0,100.0,0.0,2.0,12.0,12.0,2.0,8.0,129.0
524372828,2015,HB DEVELOPPEMENT,1821.0,100.0,87.0,85.0,0.0,1.0,8.0,14.0,0.0,105.0,133.0
524372828,2016,HB DEVELOPPEMENT,1839.0,100.0,52.0,74.0,0.0,1.0,8.0,17.0,0.0,53.0,132.0
